Sr. No,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
391,Nashik,Devala,Bajra,1450,1475,1475,07022017
392,Nashik,Devala,Bajra,1421,1536,1490,06022017
393,Nashik,Devala,Bajra,1395,1526,1501,03022017
394,Nashik,Devala,Bajra,1440,1514,1450,02022017
395,Nashik,Devala,Bajra,1351,1501,1451,31012017
396,Nashik,Devala,Bajra,1426,1810,1476,30012017
397,Nashik,Devala,Bajra,1462,1511,1511,25012017
398,Nashik,Devala,Bajra,1396,1476,1476,19012017
399,Nashik,Devala,Bajra,1400,1474,1474,18012017
400,Nashik,Devala,Bajra,1455,1474,1474,17012017
401,Nashik,Devala,Bajra,1380,1500,1450,16012017
402,Nashik,Devala,Bajra,1410,1782,1525,13012017
403,Nashik,Devala,Bajra,1335,1780,1463,12012017
404,Nashik,Devala,Bajra,1400,1641,1435,11012017
405,Nashik,Devala,Bajra,1341,1651,1496,10012017
406,Nashik,Devala,Bajra,1391,1455,1455,09012017
407,Nashik,Devala,Bajra,1424,1440,1440,06012017
408,Nashik,Devala,Bajra,1505,1526,1526,05012017
409,Nashik,Devala,Bajra,1365,1562,1493,04012017
410,Nashik,Devala,Bajra,1386,1700,1500,03012017
411,Nashik,Devala,Bajra,1425,1506,1465,02012017
412,Nashik,Devala,Bajra,1393,1651,1511,30122016
413,Nashik,Devala,Bajra,1440,1820,1550,28122016
414,Nashik,Devala,Bajra,1451,1600,1505,27122016
415,Nashik,Devala,Bajra,1516,1740,1580,26122016
416,Nashik,Devala,Bajra,1400,1895,1500,23122016
417,Nashik,Devala,Bajra,1351,1805,1555,22122016
418,Nashik,Devala,Bajra,1336,1500,1470,21122016
419,Nashik,Devala,Bajra,1350,1770,1416,20122016
420,Nashik,Devala,Bajra,1363,1795,1795,19122016
421,Nashik,Devala,Bajra,1352,1735,1451,16122016
422,Nashik,Devala,Bajra,1380,1735,1445,15122016
423,Nashik,Devala,Bajra,1441,1597,1480,14122016
424,Nashik,Devala,Bajra,1352,1571,1500,13122016
425,Nashik,Devala,Bajra,1371,1800,1475,09122016
426,Nashik,Devala,Bajra,1340,1675,1525,08122016
427,Nashik,Devala,Bajra,1336,1674,1456,07122016
428,Nashik,Devala,Bajra,1370,1660,1450,06122016
429,Nashik,Devala,Bajra,1425,1630,1455,05122016
430,Nashik,Devala,Bajra,1330,1826,1440,02122016
431,Nashik,Devala,Bajra,1361,1665,1451,01122016
432,Nashik,Devala,Bajra,1380,1910,1625,30112016
433,Nashik,Devala,Bajra,1340,1625,1545,28112016
434,Nashik,Devala,Bajra,1350,1740,1510,25112016
435,Nashik,Devala,Bajra,1396,1738,1600,24112016
436,Nashik,Devala,Bajra,1401,1582,1461,23112016
437,Nashik,Devala,Bajra,1365,1540,1425,22112016
438,Nashik,Devala,Bajra,1395,1651,1445,21112016
439,Nashik,Devala,Bajra,1350,1350,1350,18112016
440,Nashik,Devala,Bajra,1665,1665,1665,16112016
441,Nashik,Devala,Bajra,1270,1740,1451,15112016
442,Nashik,Devala,Bajra,1330,1650,1445,10112016
443,Nashik,Devala,Bajra,1351,1890,1525,09112016
444,Nashik,Devala,Bajra,1341,1725,1412,08112016
445,Nashik,Devala,Bajra,1195,1510,1376,07112016
446,Nashik,Devala,Bajra,1145,1550,1300,25102016
447,Nashik,Devala,Bajra,1151,1510,1321,24102016
448,Nashik,Devala,Bajra,1151,1390,1225,21102016
449,Nashik,Devala,Bajra,1130,1281,1152,20102016
450,Nashik,Devala,Bajra,1132,1375,1250,19102016
451,Nashik,Devala,Bajra,1330,1375,1355,18102016
452,Nashik,Devala,Bajra,1334,1446,1380,14102016
453,Nashik,Devala,Bajra,1330,1385,1366,13102016
454,Nashik,Devala,Bajra,1330,1525,1375,10102016
455,Nashik,Devala,Bajra,1340,1590,1426,07102016
456,Nashik,Devala,Bajra,1340,1565,1400,06102016
457,Nashik,Devala,Bajra,1334,1670,1400,05102016
458,Nashik,Devala,Bajra,1356,1500,1405,04102016
459,Nashik,Devala,Bajra,1341,1630,1500,03102016
460,Nashik,Devala,Bajra,1336,1840,1405,29092016
461,Nashik,Devala,Bajra,1382,1575,1485,28092016
462,Nashik,Devala,Bajra,1325,1770,1575,27092016
463,Nashik,Devala,Bajra,1305,1740,1581,26092016
464,Nashik,Devala,Bajra,1385,1646,1566,23092016
465,Nashik,Devala,Bajra,1352,1701,1550,22092016
466,Nashik,Devala,Bajra,1275,1796,1525,20092016
467,Nashik,Devala,Bajra,1300,1816,1501,19092016
468,Nashik,Devala,Bajra,1375,1835,1505,16092016
469,Nashik,Devala,Bajra,1400,1840,1590,14092016
470,Nashik,Devala,Bajra,1490,1841,1621,09092016
471,Nashik,Devala,Bajra,1542,1831,1651,08092016
472,Nashik,Devala,Bajra,1440,1886,1720,07092016
